TABLE_NAME,COLUMN_NAME,TABLE_SCHEMA,TABLE_CATALOG,CONSTRAINT_NAME,ORDINAL_POSITION,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME,REFERENCED_TABLE_SCHEMA,POSITION_IN_UNIQUE_CONSTRAINT
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,alumni,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,bus_time_table,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,career_enquiry,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,cell_record,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,colloborations,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,events,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,events_registration,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,invitedtalks,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,search,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,photos,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,research,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,jobs,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,faculty_profile,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,projects_guided,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,lab_details,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,publications,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,recruiters,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,slider,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,testimonials_details,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,admission_enquiry,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,department_cover_image,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,areaofinterest,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,admission_enquiry1,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,view_count,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,drives,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,drive_registration,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,student_verification,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,enquiry_entries,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,event_photos,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,extra_curricular_activities,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,otheractivities,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,department_wise_faculty_info,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,department_wise_faculty_info1,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,news_ticker1,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,news_ticker,<blank>,def
<blank>,id,<blank>,<blank>,PRIMARY,1,u206194013_ICOER02MAR20,def,u206194013_ICOER02MAR20,departmental_head_emails,<blank>,def

