ROWS_READ,TABLE_NAME,ROWS_CHANGED,TABLE_SCHEMA,ROWS_CHANGED_X_INDEXES
1125,department_wise_faculty_info1,0,u206194013_ICOER02MAR20,0
141450,testimonials_details,0,u206194013_ICOER02MAR20,0
7189,department_cover_image,0,u206194013_ICOER02MAR20,0
1288651,publications,0,u206194013_ICOER02MAR20,0
233345,research,0,u206194013_ICOER02MAR20,0
171022,department_wise_faculty_info,0,u206194013_ICOER02MAR20,0
239276,otheractivities,0,u206194013_ICOER02MAR20,0
61835,enquiry_entries,68,u206194013_ICOER02MAR20,68
2453225,faculty_profile,0,u206194013_ICOER02MAR20,0
308,alumni,0,u206194013_ICOER02MAR20,0
117,student_verification,0,u206194013_ICOER02MAR20,0
6156,drives,0,u206194013_ICOER02MAR20,0
282331,invitedtalks,0,u206194013_ICOER02MAR20,0
159150,recruiters,0,u206194013_ICOER02MAR20,0
448,colloborations,0,u206194013_ICOER02MAR20,0
34722,events,0,u206194013_ICOER02MAR20,0
147082,areaofinterest,0,u206194013_ICOER02MAR20,0
440,cell_record,0,u206194013_ICOER02MAR20,0
1776,photos,0,u206194013_ICOER02MAR20,0
1757,departmental_head_emails,0,u206194013_ICOER02MAR20,0
117,news_ticker1,0,u206194013_ICOER02MAR20,0
3435,career_enquiry,2,u206194013_ICOER02MAR20,2
3498,lab_details,0,u206194013_ICOER02MAR20,0
18414,view_count,4270,u206194013_ICOER02MAR20,4270
2126,admission_enquiry,160,u206194013_ICOER02MAR20,160
69767,news_ticker,0,u206194013_ICOER02MAR20,0
106407,admission_enquiry1,0,u206194013_ICOER02MAR20,0
1035171,projects_guided,0,u206194013_ICOER02MAR20,0
725928,search,0,u206194013_ICOER02MAR20,0

